X,Y,STANDORT,VERFAHREN,PARAMETER,EINHEIT,MESSW_BL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
12.235665628923465,50.039327555443606,StSch 4251 Oberpfalz 9,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,13.0000000000,731680,5548020,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,forest
12.186834926780422,50.044863339492146,StSch 4251 Oberpfalz 10,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,44.0000000000,728158,5548485,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,forest
12.244746291724026,50.069149066760794,StSch 4251 Oberpfalz 11,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,54.0000000000,732186,5551363,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,
12.264787512882064,50.078779599412954,StSch 4251 Oberpfalz 12,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,13.0000000000,733573,5552496,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,
12.242838452488812,50.073187873175243,StSch 4251 Oberpfalz 13,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,106.0000000000,732030,5551806,721,Kambrium ungegliedert,metamorph,Glimmerschiefer,,,,,
12.343758309955126,50.035738586363316,StSch 4251 Oberpfalz 14,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,5.0000000000,739436,5547962,712,"Ordovizium, Frauenbach-Schichten, Tremadoc, Phycoden-Schichten,Tremadoc bis Arenig",marine Ablagerungen,"Tonschiefer, Quarzit, Ger”llquarzit",bei Prag: unteres und mittleres Ordovizium,,farmland,,
12.353433882853729,50.012436551666966,StSch 4251 Oberpfalz 15,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,102.0000000000,740245,5545403,713,oberes Ordovizium,marin,,bei Prag,,,,
12.024249500213299,49.912744645278494,StSch 4251 Oberpfalz 16,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,146.0000000000,717114,5533315,715,"Ordovizium, Tieferes Ordovizium","marine Ablagerungen, metamorph",Phyllit,,,,,
12.065918829509943,49.905280062434166,StSch 4251 Oberpfalz 17,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,101.0000000000,720139,5532607,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.102754917741734,49.910587911882551,StSch 4251 Oberpfalz 18,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,198.0000000000,722759,5533306,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.155709610177608,49.91147871806217,StSch 4251 Oberpfalz 19,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,369.0000000000,726556,5533564,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,,,
12.151889701059458,49.94154102428076,StSch 4251 Oberpfalz 20,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,14.0000000000,726141,5536894,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
